,Headline,Acq Status,Acquirer,Acquired
330,UPDATED: Amgen snags KAI Pharma's CKD program in $315M buyout,Yes,Amgen,KAI Pharma's CKD program
331,US company likes Italian software and buys Viamente,Yes,,Viamente
332,"Under NECA, Developers Icarus Studios, Zabu Studio Announce Merger to Form MFV",Yes,,
333,Unity Wireless Closes Acquisition of Celletra Ltd.,Not sure,,
334,"Univa, United Devices Merge",Yes,,
335,Updated: Cisco To Buy Interactive TV And Security Specialist NDS In $5B Deal,Yes,Cisco,NDS
336,Upper Deck Social Panel: Today & Tomorrow,No,,
337,"VCE COALITION AND ACADIA COMBINED AND RENAMED VCE, THE VIRTUAL COMPUTING  ENVIRONMENT COMPANY",Yes,VCE COALITION,ACADIA
338,VMware Buys B-hive for Performance Scans,Yes,VMware,B-hive
339,Vacation Home Spring of 2013,Not a headline,,
340,Values of n Blog,Not a headline,,
341,Verify.IM Announced The Opening Pre-Registration Period,No,,
342,Verisign Sells mQube to Mobile Messenger for,Yes,Mobile Messenger,
343,Via @AwesomeTouch on Twitter,Not a headline,,
344,Viki Signs Deal with Universal Music Group,No,,
345,Vinnex International Championship 2010,Not a headline,,
346,Virya Technologies welcomes Chris Smith - Website design apprentice,No,,
347,Visumotion Changes Name to 3D International Group,Not sure,Visumotion,
348,Vitalitec buys surgical device from Novare,Yes,Vitalitec,Surgical Device from Novare
349,"WDA and [x+1] merge to form a digital marketing company that spans digital display, mobile and social media",Yes,,
350,We are joining Intuit!,Yes,Intuit,
351,"Web 2.0 Finance Startup, Stockopedia raises over $700,000 in bid to transform online UK financial media - See more at: http://www.stockopedia.c",No,,
352,Webroot Acquires Hosted Internet Security Services Provider BrightCloud,Yes,Webroot,BrightCloud
353,Westaim Announces Amalgamation Agreement with NUCRYST Pharmaceuticals,Not sure,Westaim,NUCRYST Pharmaceuticals
354,We’ll be providing certified digital IDs to French citizens with group La Poste,No,,
355,"With FDA Approval In Hand, Asthmatx To Sell For Up To $443.5M",No,,
356,Wright Medical to buy French firm for $75 million,Yes,Wright Medical,
357,Xspand was acquired by Bear Stearns and is now part of JPMorgan,Yes,JPMorgan,Xspand
358,"Yahoo Acquires Lexity, Will Keep Ecommerce App Platform Running But Rebrand It",Yes,Yahoo,Lexity
359,Yahoo Spins Off Blo.gs To Automattic,Not a headline,,
360,Yahoo! Hack India 2013 To Be Held In Hyderabad,No,,
361,Yellow Media Sells Vertical Media Publishing Subsidiary For $745 Million In Cash,No,,
362,"Youku to buy Tudou, creating China online video giant",Yes,Youku,Tudou
363,ZeniMax Raised $105 Million To Buy Id Software,Yes,ZeniMax,Id Software
364,Zillow Buys Real Estate Listings Creation And Distribution Tool Postlets,No,,
365,"Zynex Enters into Letter of Intent with NeuroDyne Medical, Corp.",Not sure,"NeuroDyne Medical, Corp.",Zynex
366,[x+1] Names Bridget Bidlack as Vice President of Product Management,No,,
367,eStreet.com.ng Combats Nigerian Cyber-Fraud by Unveiling Africa�s First Social Earning Enterprise.,No,,
368,myOpenID Affiliate Blog Post,Not a headline,,
369,product inconsistency (it's a good thing),Not a headline,,
370,stack.horizobu.com - an exploration engine,Not a headline,,
371,"urlShort breaks 1,000 shortened URLs",No,,
372,Выгода.ру – победитель народного голосования «Выбор потребителей 2011″!,Not sure,,
