,Acq Status,Acquirer,Acquired,Completion Time,Student,Headline
908,No,,,16.213,2,Persistent Systems Recognized as a Top 100 Global Services Provider for 2012
910,Yes,Nokia,OZ Communications,14.711000000000002,2,Nokia to acquire leading consumer email and instant messaging provider OZ Communications
911,Yes,Nstein Technologies,Eurocortex,9.103,2,"Nstein Technologies acquires Eurocortex, a leading web content management software provider"
913,No,,,7.297,2,LindenMobileVentures invests in Lunagames
915,Not a headline,,,4.79,2,Top 50 Article Directories List
919,Yes,Micron,Numonyx,13.475999999999999,2,Micron will acquire memory chip maker Numonyx for $1.27 billion
924,Yes,Quepasa,XtFT,9.478,2,"Quepasa, The Facebook For Latinos, Buys Social Game Developer XtFT For $4 Million"
926,Yes,VCE COALITION,ACADIA,12.856000000000002,2,"VCE COALITION AND ACADIA COMBINED AND RENAMED VCE, THE VIRTUAL COMPUTING  ENVIRONMENT COMPANY"
929,Not sure,,,11.263,2,Carbox boucle une 3�me lev�e aupr�s de Mobivia Groupe
930,Yes,Cisco,NDS,8.501000000000001,2,Updated: Cisco To Buy Interactive TV And Security Specialist NDS In $5B Deal
932,Yes,OutStart,Eedo,7.702,2,OutStart and Eedo Knowledgeware Merge
937,No,,,2.471,2,T-Mobile UK Launches Mobile Phone GPS Navigation with TeleNav
939,Yes,SavATree,DeerTech,6.950000000000001,2,SavATree Acquires BEV Capital-Backed DeerTech
941,No,,,8.615,2,"Counting down to Alibaba, Qunar gives China�s IPO prospects another shot in the arm"
943,Not a headline,,,10.016,2,11 Billion Videos Viewed Online in the U.S. in April 2008
950,Yes,"Filmakers Library, Inc.","Alexander Street Press, LLC",7.588000000000001,2,"Filmakers Library, Inc. Joins Forces with Alexander Street Press, LLC"
952,Yes,Cisco,NDS,8.838999999999999,2,Updated: Cisco To Buy Interactive TV And Security Specialist NDS In $5B Deal
956,No,,,11.94,2,"Transhield Receives $8.3 Million Contract for Protective MRAP Vehicle and Equipment Covers, Making it the Largest Defence Contract in Company's History"
965,No,,,5.908,2,Virya Technologies welcomes Chris Smith - Website design apprentice
967,Not sure,,,8.394,2,Russian ISP Siberian Networks sells 20% ownership to CapMan
970,No,,,10.016,2,"GraphEffect Launches SHIFT.com, Former Facebook Leader Joins Executive Team"
974,Yes,AOL,StudioNow,6.937,2,"AOL Acquires StudioNow For $36.5M, Confirms Departure Of CTO Ted Cahall"
980,No,,,5.445,2,Blekko Bans 1.1 Million Spammy Domains Via New Algorithm
984,Yes,Zayo Bandwidth,Memphis Networx,8.050000000000004,2,Memphis Networx Now Part of Zayo Bandwidth
994,Yes,Havok,Trinigy,10.456,2,Intel’s Havok Acquires 3D Game Engine Provider Trinigy
995,Yes,Omnicity,North Central Communications,9.974,2,Omnicity Acquires North Central Communications and Announces New Board Member
996,Not sure,competing software firm,Softscape,7.049999999999997,2,Softscape acquired by competing software firm
1003,Yes,Electronic Arts,PlayNation,7.832999999999998,2,Electronic Arts Announces Acquisition of PlayNation; Online Entertainment Developer Adds to EA's Internet Content.
1004,Yes,Nuance,BeVocal,8.318999999999999,2,Nuance Closes Acquisition of BeVocal
1007,Not a headline,,,11.562,2,"Follow Reuters      Facebook     Twitter     RSS     YouTube    Pictures Visitors run away from waves from a tidal bore as it surges past a barrier on the banks of Qiantang River, in Hangzhou Zhejiang province, August 25, 2013. REUTERS/Stringer Reuters P"
1008,Not sure,CapMan,Siberian Networks,11.475,2,Russian ISP Siberian Networks sells 20% ownership to CapMan
1009,Yes,Rally Software,6th Sense Analytics,9.068999999999999,2,Rally Software buys NC-based 6th Sense Analytics
1010,Yes,HOV Services,SOURCECORP,6.914000000000001,2,HOV Services and SOURCECORP Agree to Merge
1013,No,,,4.2940000000000005,2,Columbian Announces Ownership Change
1014,No,,,14.468,2,"In The Shadow Of YouTube, Vuclip Grows Its Mobile Video Network To 80M Uniques, Fends Off Suitors And Eyes Up Acquisitions"
1021,Yes,Nuance Communications,QuadraMed's Health Information Management Business,9.648,2,Nuance Communications To Buy QuadraMed's Health Information Management Business
1022,Not a headline,,,13.291,2,Vinnex International Championship 2010
1025,Yes,Ingk Labs,ActiveCause,9.245000000000001,2,ActiveCause Assets Assimilated Into Ingk Labs Portfolio
1028,Not a headline,,,0.9530000000000003,2,Current’s Claims of ‘Profitability’ Ring False
1029,No,,,7.877,2,Boundaryless Brands Sell FastFireplaces and Exits
1031,Yes,GE,Converteam,7.814,2,GE Buys Electrical Engineering Company Converteam For Up To $3.7 Billion
1033,Not a headline,,,6.019,2,stack.horizobu.com - an exploration engine
1040,Not a headline,,,8.649,2,Mortgage closing costs up 6% this year
1043,No,,,11.34,2,"Newly AOL-Free Bebo Adds Hi5, Oodle Executives"
1044,Yes,GREE,App Ant,9.968000000000002,2,"Japan�s GREE Acquires Another U.S. Studio, App Ant, To Build Games For Western Audiences"
1047,Not a headline,,,6.208,2,"Android mobile platform, �up to� $US50 million (estimated)"
1052,No,,,6.201,2,Petsky Prunier Advises SQAD on its Sale to Clarion Capital Partners
1055,Yes,Obopay company,BillMonk,8.982,2,BillMonk is now an Obopay company! Settle up online.
1059,Yes,Biomedical Structures,Concordia,9.264000000000001,2,Biomedical Structures buys fellow Warwick biomaterial firm Concordia
1063,No,,,10.7,2,"DISH Wins Bankruptcy Auction, Buys Blockbuster Assets For $228M In Cash"
1066,Yes,RBC,BlueBay,8.625,2,RBC To Buy BlueBay For US$1.5B
1069,Yes,Google,Zingku,10.530999999999999,2,Google Acquires Mobile Platform Operator Zingku
1070,Yes,SAIC,Spectrum San Diego,12.895,2,SAIC Completes Acquisition of Spectrum San Diego
1071,Yes,Pamet Software,"Hunter Systems Group, Inc.",16.837,2,"Pamet Software Purchases Hunter Systems Group, Inc.'s Consulting Business"
1073,No,,,13.741000000000001,2,ZeniMax Raised $105 Million To Buy Id Software
1077,No,,,10.133,2,Carey Watermark Investors Buys Raleigh Marriott City Center for $89 Mln
1078,No,,,5.378,2,AeroMechanical Services Ltd. Acquires Assets of Wingspeed Corporation
1080,Yes,Three Pillar Global,"Professional Services Division of PointAbout, Inc.",19.314,2,"Three Pillar Global Acquires Professional Services Division of PointAbout, Inc."
1084,Yes,Augure,iMente,9.088999999999999,2,"Augure Acquires iMente, the Spanish Leader in the Online and Social Media Monitoring Industry"
1091,Yes,Flipkart,Letsbuy.com,9.473000000000003,2,Flipkart Acquires Letsbuy.com to Increase India Market Share
1092,Yes,ZeniMax,Id Software,8.14,2,ZeniMax Raised $105 Million To Buy Id Software
1094,No,,,13.887,2,OUCH: AOL Sold Buy.at For Just $17 Million -- A $108 Million Loss
1103,Yes,GEC,Fore Systems,7.869000000000001,2,GEC offers over $4 billion for Fore Systems
1104,Yes,Cybird,Airborne,13.837,2,Japan's Cybird Buys Mobile Entertainment Firm Airborne for $90 Million
1106,Not sure,Dell,Zing,5.4839999999999804,2,Dell Shops Direct For Zing
1109,No,,,10.117,2,Salesforce.com Reported To Buy GoInstant
1116,Yes,Gannett,Belo,8.768999999999998,2,Gannett Buying Belo in $2.2 Billion Deal
1119,Yes,Elsevier,Mendeley,12.052999999999997,2,"Confirmed: Elsevier Has Bought Mendeley For $69M-$100M To Expand Its Open, Social Education Data Efforts"
1120,Not a headline,,,6.171,2,MassHighTech: The Journal of New England Technology
1126,Not sure,,SonicWALL,10.637000000000002,2,SonicWALL Acquired By Private Equity Group For $717M
1127,Yes,,,5.525999999999996,2,InfoSpace sells directory business for $225 million
1128,Yes,Microsoft,PhoneFactor,10.695999999999998,2,Microsoft Acquires PhoneFactor To Keep Hackers From Destroying Your Life
1131,Yes,DiACardio LTD,UltraLinq Healthcare Solutions,8.106000000000002,2,"DiACardio LTD, & UltraLinq Healthcare Solutions Announce Partnership"
1132,Yes,Terremark,,3.3600000000000003,2,Terremark Acquires Leading Data Storage Company
1133,Yes,SCM Microsystems,Hirsch Electronics,6.884,2,SCM Microsystems and Hirsch Electronics to Merge
1136,Not a headline,,,6.7,2,Glu Mobile Expands Real-Money Gambling Portfolio with Probability
1138,Not a headline,,,8.297,2,EnerNOC Q3 revenue jumps on customer growth
1139,No,,,8.116,2,Mitre Media Announces $8.6M Capital Raise and Acquisitions
1142,Not a headline,,,6.974,2,"Joobili almost back from the deadpool, finds buyer for assets with sale to TravelShark"
1146,Yes,The Active Network,Hy-Tek Sports,8.918000000000001,2,The Active Network Acquires Hy-Tek Sports Software
1147,Yes,Levine Leichtman,Genova Diagnostics,7.18,2,"Levine Leichtman Buys Genova Diagnostics From Nautic, Ferrer Freeman"
1148,Not a headline,,,70.629,2,Conker enter Wayra accelerator
1160,No,,,6.564,2,TypeFrag Selects Internap to Deliver High-Performance Network for Online Gaming VoIP
1170,No,,,6.523,2,Founders Of Oweing.Com Launch DebtScore.Com
1172,Not a headline,,,6.075,2,Yahoo Spins Off Blo.gs To Automattic
1175,Yes,PLATO Learning,Thoma Bravo,7.359999999999999,2,PLATO Learning Enters into Merger Agreement with Thoma Bravo
1179,Yes,Haemonetics,"Global Med Technologies, Inc.",9.552999999999999,2,"Haemonetics concludes successful tender for Global Med Technologies, Inc."
1181,No,,,10.434,2,Nuance Communications To Buy QuadraMed's Health Information Management Business
1183,No,,,7.867,2,Music Tech Pioneers Combine to Create Premier Site for Collaboration
1187,Yes,Mobile Messenger,mQube,12.017999999999999,2,Verisign Sells mQube to Mobile Messenger for
1190,No,,,4.255,2,Sina Afra invests in Lidyana
1192,No,,,39.786,2,IBM to buy OpenPages
1194,Not sure,,,21.341,2,Выгода.ру – победитель народного голосования «Выбор потребителей 2011″!
1195,Yes,,Talecris,5.742999999999999,2,Spanish buyer set to take over Talecris
1209,Yes,Kevin,Dynamic Broadband Wireless Assets,10.992,3,KEYON COMPLETES PURCHASE OF DYNAMIC BROADBAND WIRELESS ASSETS
1211,Yes,Microsoft,Health Intelligence Software Azyxxl,13.403,3,Microsoft Expands Presence in Healthcare IT Industry With Acquisition of Health Intelligence Software Azyxxi
1216,Not sure,,,1.7829999999999995,3,Oxford University Hospitals NHS proves outstanding compliance levels with Enterprise Study
1217,No,,,4.414,3,PayPal Hits 100 Million Active Users
1221,No,,,8.964999999999998,3,One year after the acquisition: was it all worth it?
1224,Yes,Bentley,Microprotol,6.511,3,Bentley Acquires Microprotol to Extend AutoPIPE�s Market Leadership in High-pressure Plant Environments
1225,Yes,LibreDigital,E-commerce Tech,9.888000000000002,3,LibreDigital Buys E-Commerce Technology From HarperCollins
1226,No,,,5.634,3,JavaScript with expiration date
1232,Yes,Zillow,Real Estate Listings Creation,9.058,3,Zillow Buys Real Estate Listings Creation And Distribution Tool Postlets
1234,No,,,6.21,3,Upper Deck Social Panel: Today & Tomorrow
1235,Yes,Amgen,KAI Pharma's CKD program,8.213999999999999,3,UPDATED: Amgen snags KAI Pharma's CKD program in $315M buyout
1236,Yes,Netsmart,"Sequest Technologies, Inc",8.321000000000002,3,"Netsmart Acquires Sequest Technologies, Inc. to Expand Solutions and Presence in Child and Family Services and Substance Use Treatment Communities"
1237,Yes,,,4.825000000000001,3,"Univa, United Devices Merge"
1238,Yes,Nuance,QuadraMed's Health Info Management Business,9.062000000000001,3,Nuance Communications To Buy QuadraMed's Health Information Management Business
1239,Not sure,,,5.578,3,Boston's Rue La La gets shuffled in eBay-GSI merger
1241,Yes,DirecTV,Lifeshield,7.157,3,DirecTV Buys LifeShield: Reports
1242,Not a headline,,,2.0300000000000002,3,EditMe - Reviews by PC Magazine
1246,Not sure,,,7.041,3,SYNETY eyes global expansion with proposed reverse AIM listing
1249,Not sure,,,6.259,3,CallSource Appoints Brad Barnett as President
1250,No,,,2.982,3,Gamevil to invest $10M in U.S. game developers
1254,Yes,,,4.72,3,"WDA and [x+1] merge to form a digital marketing company that spans digital display, mobile and social media"
1259,Yes,Hostgator.com LLC,AptHost,11.645999999999999,3,"Rancho Santa Monica Developments entered into an Agreement to sell AptHost Communications USA Ltd (""Apthost"") to Hostgator.com LLC"
1260,Not sure,,,6.219,3,Fenox Venture Capital Invests in Southeast Asian Technology Media Startup Tech in Asia
1262,Not a headline,,,4.966,3,Vacation Home Spring of 2013
1264,Yes,Hostgator.com LLC,AptHost,277.948,3,"Rancho Santa Monica Developments entered into an Agreement to sell AptHost Communications USA Ltd (""Apthost"") to Hostgator.com LLC"
1265,Yes,Odyssey Investment,Fischbein,9.289000000000001,3,Odyssey Investment Partners Buys Fischbein
1268,Not a headline,,,5.684,3,Verisign Sells mQube to Mobile Messenger for
1274,Not a headline,,,7.313,3,Rent My Vacation Home Opens store number 25 Rent My Disney Vacation Home In Orlando Florida
1278,No,,,6.3309999999999995,3,"Trianz announces Beta release of IPSpace 1.0, a Royalty Management Solution for Intellectual Property Owners in High-Tech and Media Industries"
1279,No,,,5.424,3,Mitre Media Announces $8.6M Capital Raise and Acquisitions
1280,No,,,4.195,3,Equilar's Social Atlas Helps Advisers Lure Wealthy Facebook-Skipping CEOs
1282,Yes,Scientific Conservation,Public Company,10.021,3,"Scientific Conservation Buys Public Company For $12.9M, Changes Name"
1286,Yes,,Vertical Media Publishing Subsidiary,22.307000000000002,3,Yellow Media Sells Vertical Media Publishing Subsidiary For $745 Million In Cash
1288,Not sure,,,15.156,3,MethylGene Shareholders Approve the Plan of Arrangement to Reincorporate in the United States as Mirati Therapeutics Inc.
1299,Yes,,,4.138,3,Merger of NICHE and ChiHealth
1303,Not a headline,,,8.853,3,Collective Buying Video Ad Firm Web TV Enterprise
1307,Yes,,,5.318,3,"Under NECA, Developers Icarus Studios, Zabu Studio Announce Merger to Form MFV"
1312,No,,,28.612,3,Saft Awarded $1.2 Million Contract by Ball Aerospace to Provide Lithium-ion Battery for LEO Satellite Program
1314,No,,,4.763,3,Yahoo! Hack India 2013 To Be Held In Hyderabad
1316,Yes,"Mistral Ventures, Inc","Assets of Tech World Capital, Inc",15.837,3,"Mistral Ventures, Inc. Signs LOI to Acquire Assets of Tech World Capital, Inc."
1320,Yes,Kensey Nash,Nerites,9.735,3,Kensey Nash buys Nerites for $20M
1328,Yes,Youku,Tudou,12.634,3,"Youku to buy Tudou, creating China online video giant"
1331,No,,,5.684,3,Amazon spends $250M for Alexa Internet
1335,Yes,Quantcast,Startup MakeGood,10.015,3,Quantcast Acquires Startup MakeGood To Improve Ad Data Aggregation
1342,Yes,SAIC,Atlan,6.783999999999999,3,SAIC announces acquisition of Atlan
1348,Yes,Tweetup,Android Twitter Client Twidroid,9.68,3,TweetUp Buys Android Twitter Client Twidroid And News Aggregator Popurls
1351,Not sure,,,6.32,3,Unity Wireless Closes Acquisition of Celletra Ltd.
1353,Yes,LifeLock,ID Analytics,7.850999999999999,3,LifeLock Strengthens Market Position Through Acquisition of ID Analytics
1354,No,,,10.197,3,TNW Startup Awards revela vencedores
1355,Not a headline,,,3.291,3,Via @AwesomeTouch on Twitter
1358,No,,,8.965,3,"LiveIntent Adds Jason Pressman to Board, Raises $8 millon"
1368,No,,,5.822,3,DFL-DDP Version 1.2 Is Coming Available In Our User-Only Forum
1372,Not a headline,,,4.227,3,Interview w/ Captain Dash Founders
1375,No,,,4.329,3,TNW: SWITZERLAND�S SQUIRRO RAISES SEED FUNDING TO HELP ADD CONTEXT TO YOUR DATA
1376,No,,,5.115,3,TXTImpact Released Enhanced SMS Autoresponder for Text Message Marketing
1381,No,,,4.037,3,Meredith 10-q for Dec 2010
1382,Yes,,,10.529,3,"Bwin- Gioco Digitale acquisition, the CEO reveals details of the agreement by 115 mln"
1384,Not sure,Zayo Bandwidth,Memphis Networx,9.72199999999998,3,Memphis Networx Now Part of Zayo Bandwidth
1386,No,,,6.983,3,Another Digg Exec Is Out: Longtime CFO John Moffett Leaves
1391,Not sure,,,14.951,3,Music Tech Pioneers Combine to Create Premier Site for Collaboration
1397,Yes,,,10.079,3,RelevantView Merges with Imperium
1398,No,,,124.051,3,Software Updates Can't Slow Comm100 Live Chat
1402,Yes,WANdisco,AltoStar,14.702000000000012,3,Big Data Consolidation: WANdisco Buys AltoStor For $5.1M To Beef Up Its Apache Hadoop Cred
1404,Yes,,,5.002,3,Nuance Closes Acquisition of BeVocal
1412,Not a headline,,,3.384,3,product inconsistency (it's a good thing)
1413,No,,,5.005,3,Columbian Announces Ownership Change
1415,No,,,4.211,3,"Ebay Spends More Than $1.2 Billion To Buy BillMeLater And DBA.dk, And Lays Off 10% Of Employees"
1419,Yes,Liberty Global,ASTER,8.11,3,"Liberty Global Buys 100% equity in ASTER, from Mid Europa"
1420,Yes,NEP,Trio Video,12.845999999999997,3,NEP Acquires Trio Video
1421,Not sure,,,6.098,3,Nuance Communications To Buy QuadraMed's Health Information Management Business
1424,No,,,4.468,3,CrowdGather Adds Writers.net to Portfolio of Forum Properties
1431,Yes,GE,Electrical Engineering Company Converteam,11.398,3,GE Buys Electrical Engineering Company Converteam For Up To $3.7 Billion
1434,Yes,Amgen,Nektar's polymer,7.2109999999999985,3,Amgen pays Nektar $50M for polymer
1435,Yes,SourceFire,Immunet,6.7879999999999985,3,Cloud computing heats up as SourceFire pays $21M for Immunet
1436,Not sure,,,10.672,3,UFG PE Part of Three-way Deal to Purchase Rising Star Media
1437,Yes,Talent Technology,Seattle startup TalentSpring,13.399999999999999,3,Talent Technology buys Seattle startup TalentSpring
1439,No,,,6.72,3,"Mobile Vikings celebrates 50,000th customer"
1441,No,,,9.952,3,Nowaco CE Up for Sale by CCMP and Bancroft
1442,Yes,Itron,Asais,5.148999999999999,3,Smart Grid Shopping: Itron Acquires Asais
1443,No,,,6.15,3,"Newly AOL-Free Bebo Adds Hi5, Oodle Executives"
1445,No,,,3.812,3,Former Playfish VP Raises $2.6M from Accel for Stealthy Game Company
1448,Yes,NetMediaEuropeqCBS Interactive's German Sites,,15.725000000000001,3,"NetMediaEurope Buys CBS Interactive�s German Sites, Including ZDNet.de And CNET.de"
1457,No,,,8.943,3,Belgacom Gets a Taste of Jinni
1468,Not sure,,,8.384,3,SAP Will Buy SuccessFactors For $3.4 BillionSAP Will Buy SuccessFactors For $3.4 Billion
1474,Yes,TrustedID,Unsubscribe.com,6.795,3,TrustedID Acquires Unsubscribe.com to Expand Consumer Protection
1479,Not a headline,,,28.271,3,Pipex snaps up web host outfit £5.9m for Donhost
1482,Yes,Sciele Pharma,"Addrenex Pharmaceuticals, Inc",14.163,3,"Sciele Pharma, A Shionogi Company, To Acquire Addrenex Pharmaceuticals, Inc., A U.S. Specialty Pharmaceutical Company"
1484,Yes,Augure,iMente,7.635999999999999,3,"Augure Acquires iMente, the Spanish Leader in the Online and Social Media Monitoring Industry"
1486,Not sure,,,3.816,3,EMC to complete Isilon buyout Tuesday
1498,No,,,4.37,3,NetApp Announces Results for Third Quarter Fiscal Year 2013
1499,Yes,Google,Sketch Up,5.558000000000001,3,Google Buys Sketch Up
1510,Not sure,,,4.568999999999988,3,Baidu to Buy 59% of Renren�s Group-buying Service Nuomi for $160 million
1511,Yes,Experian,CheetahMail,10.727999999999998,3,"Experian Buys CheetahMail, Aims to Boost DM Services"
1512,Yes,M2M Data,Implicit Monitoring Solutions,16.018,3,M2M DATA ACQUIRES IMPLICIT MONITORING SOLUTIONS
1513,Yes,Harman,QNX Software Unit,8.915,3,HARMAN Announces Successful Conclusion of $200M Sale of QNX Software Unit
1517,Yes,Vitalitec,Surgical Device from Novare,12.158,3,Vitalitec buys surgical device from Novare
1521,Not sure,,,5.759,3,Sitemasher sold and winding down... but to whom?
1525,Yes,GlaxoSmithKline,Okairos,6.431000000000001,3,GlaxoSmithKline Acquires Okairos for $325 Million
1527,Yes,,Directory Business,12.571,3,InfoSpace sells directory business for $225 million
1530,Yes,Clicker,www.dahoodbuzz.com,7.452999999999999,3,Clicker Acquires - www.dahoodbuzz.com
1531,Not sure,,,6.255,3,"DiACardio LTD, & UltraLinq Healthcare Solutions Announce Partnership"
1537,Yes,,,12.029,3,Gorkana joins Durrants and Metrica to deliver unique service for the PR industry
1539,No,,,5.028,3,Mitre Media Announces $8.6M Capital Raise and Acquisitions
1541,No,,,4.183,3,"urlShort breaks 1,000 shortened URLs"
1545,No,,,8.501,3,Canadian Meter Company Picks Field Service 360
1550,Yes,Ascent Media Corporation,Monitronics,9.983999999999998,3,Ascent Media Corporation Acquires Monitronics
1552,Not sure,,,7.868000000000001,3,UBM Boost Online PR Business With $10 Million Virtual Press Office Acquisition
1556,Not a headline,,,3.0189999999999997,3,"Goodbye, Cull TV. Hello MOX."
1557,Yes,Freeman,Encore Productions,5.198,3,Freeman Acquires Encore Productions
1559,Yes,DISH,Blockbuster Assets,10.695,3,"DISH Wins Bankruptcy Auction, Buys Blockbuster Assets For $228M In Cash"
1560,Not sure,,,4.353,3,TypeFrag Selects Internap to Deliver High-Performance Network for Online Gaming VoIP
1561,Yes,Bloomberg,Bureau of National Affairs,8.888000000000002,3,Bloomberg Agrees to Buy Bureau of National Affairs for About $990 Million
1564,Yes,Automattic,Thing Labs' Plinky,9.886999999999997,3,Automattic Buys Up Thing Labs’ Plinky To Help Bloggers Overcome Writer’s Block
1565,Yes,Canadian Standards Association,Distil Interactive,10.526,3,Canadian Standards Association Aquires Distil Interactive
1570,Not a headline,,,6.473,3,Founders Of Oweing.Com Launch DebtScore.Com
1571,Yes,Electronic Arts,Vision Software PTY Ltd.,9.975,3,Electronic Arts Acquires Vision Software PTY Ltd.
1575,Yes,,,5.152,3,PLATO Learning Enters into Merger Agreement with Thoma Bravo
1576,Yes,Odyssey Investment Partners,Fischbein,11.271999999999998,3,Odyssey Investment Partners Buys Fischbein
1577,No,,,8.782,3,"Company Preparing to Launch ""ubroadcast TV,"" an Online Video Community"
1580,Yes,Google,Sketch Up,4.151,3,Google Buys Sketch Up
1584,Yes,ABB,Mincom,4.690999999999999,3,"ABB Buys Another One: MIncom, for Managing Mines"
1586,Yes,Filogix,Cyence International Inc,7.7860000000000005,3,Filogix To Acquire Cyence International Inc.
1589,Yes,Praxair,Dominion Gas,14.198,3,Praxair Acquires Dominion Gas
1596,Yes,Investcorp,30% stake in leading Turkish menswear retailer orka group,18.23,3,Investcorp Buys 30% Stake In Leading Turkish Menswear Retailer Orka Group
1597,Yes,PSS,INSI,4.0569999999999995,3,"Preferred Systems Solutions, Inc. (PSS), announced today that it has acquired Integrated Network Services, Inc. (INSI)"
